ANIO,ID_PERSONA,LLAVE_ENTIDAD,LLAVE_MUNICIPIO,CLAVE_MUNICIPIO_INEGI(CLAVE_DE_AGEM),LLAVE_LOCALIDAD,CLAVE_LOCALIDAD_INEGI,ID_VIVIENDA,ID_HOGAR,LLAVE_COBERTURA,LLAVE_CLASEVIVIENDA,LLAVE_SEXO,LLAVE_PARENTESCO,LLAVE_IDENTMADRE,LLAVE_IDENTPADRE,LLAVE_PAIS_NAC,LLAVE_ENTIDAD_NAC,LLAVE_NACIONALIDAD,LLAVE_SERSALUD,LLAVE_AFRODES,LLAVE_REGISNAC,LLAVE_RELIGION,LLAVE_HLENGUA,LLAVE_LENGUAMAT,LLAVE_HESPANOL,LLAVE_ELENGUA,LLAVE_PERTEINDIGENA,LLAVE_ASISESCOLAR,LLAVE_PAIS_ASISESCOLAR,LLAVE_ENTIDAD_ASISESCOLAR,LLAVE_MUNICIPIO_ASISESCOLAR,LLAVE_TIETRASLADO_ESCOLAR,LLAVE_MEDTRASLADO_ESCOLAR,LLAVE_NIVACAD,LLAVE_CARRERA,LLAVE_ALFABETISMO,LLAVE_PAIS_RES5A,LLAVE_ENTIDAD_RES5A,LLAVE_MUNICIPIO_RES5A,LLAVE_CAUSAMIGRACION,LLAVE_SITUACONYUGAL,LLAVE_IDENTPAREJA,LLAVE_ACTPRIMARIA,LLAVE_OCUPACION,LLAVE_SITTRA,LLAVE_ACTECONOMICA,ACTIVIDAD_ECONOMICA_INEGI,LLAVE_PAIS_TRABAJO,LLAVE_ENTIDAD_TRABAJO,LLAVE_MUNICIPIO_TRABAJO,LLAVE_TIETRASLADO_TRABAJO,LLAVE_MEDTRASLADO_TRABAJO,LLAVE_TAMLOC,ESTRATO,UPM,FACTOR_EXP,NUMPERSONA,EDAD,ESCOLARIDAD,ESCOLARIDAD_ACUMULADA,INGRESO,HORAS_TRABAJADAS,HIJOS_NACIDOS,HIJOS_VIVOS,HIJOS_FALLECIDOS,MERCADO_TRABAJO_LOCAL
2000,200000000000000005227,1,17,1,170001,1.0,2000000000029308,2000000000000617.0,0,0,1,101,0,0,235,1,0,7,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,222,0,0,0,8,0,1,95201,5,722,721.0,235,1,17,0,0,4,100101022,7,3,,33.0,6.0,6.0,1286.0,54.0,,,,1
2000,200000000000000005235,1,17,1,170001,1.0,2000000000031750,2000000000000618.0,0,0,1,301,0,0,235,1,0,1,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101022,7,3,,3.0,,,0.0,,,,,1
2000,200000000000000005237,1,17,1,170001,1.0,2000000000034192,2000000000000619.0,0,0,2,301,0,0,235,1,0,1,0,0,1,2,0,0,0,3,1,601,0,0,0,0,1,0,2,235,1,17,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101022,7,3,,6.0,3.0,0.0,0.0,,,,,1
2000,200000000000000005242,1,17,1,170001,1.0,2000000000034192,2000000000000619.0,0,0,2,301,0,0,235,1,0,1,0,0,1,2,0,0,0,3,1,601,0,0,0,0,13,332,1,235,1,17,0,6,0,1,31301,0,541,540.0,235,1,17,0,0,4,100101022,7,3,,23.0,4.0,16.0,0.0,,,,,1
2000,200000000000000005245,1,17,1,170001,1.0,2000000000036634,2000000000000620.0,0,0,1,101,0,0,235,1,0,10,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,8,0,3,0,0,999,,601,0,0,0,0,4,100101023,5,7,,24.0,3.0,3.0,0.0,,,,,1
2000,200000000000000005248,1,17,1,170001,1.0,2000000000036634,2000000000000620.0,0,0,2,301,0,0,235,1,0,7,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101023,5,7,,4.0,,,0.0,,,,,1
2000,200000000000000005254,1,17,1,170001,1.0,2000000000036634,2000000000010327.0,0,0,1,301,0,0,235,1,0,9,0,0,1,2,0,0,0,0,1,601,0,0,0,0,2,0,1,235,1,17,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101023,5,7,,8.0,1.0,1.0,0.0,,,,,1
2000,200000000000000005261,1,17,1,170001,1.0,2000000000039076,2000000000000621.0,0,0,2,301,0,0,235,1,0,5,0,0,1,2,0,0,0,3,1,601,0,0,0,0,1,0,1,235,1,17,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101023,5,7,,7.0,3.0,0.0,0.0,,,,,1
2000,200000000000000005262,1,17,1,170001,1.0,2000000000039076,2000000000000621.0,0,0,2,301,0,0,235,1,0,5,0,0,1,2,0,0,0,3,1,601,0,0,0,0,2,0,1,235,1,17,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101023,5,7,,10.0,4.0,4.0,0.0,,,,,1
2000,200000000000000005272,1,17,1,170001,1.0,2000000000041518,2000000000000622.0,0,0,1,611,0,0,235,1,0,5,0,0,1,2,0,0,0,3,1,601,0,0,0,0,2,0,1,235,1,17,0,9,0,8,0,0,999,,601,0,0,0,0,4,100101023,5,7,,12.0,2.0,2.0,0.0,,,,,1
